case_name,arch_variant_name,ARCH_VARIANT,ARRAY_M,ARRAY_N,CLUSTER_SIZE,SHARE_FACTOR,physical_pe_count,shadow_pe_count,total_compute_steps,latency_cycles,latency_time_ms,throughput_ops_per_sec,lut,ff,dsp,bram,wns_ns,fmax_mhz_est,vivado_report_kind,status,pareto_latency_lut,ranking_note,perf_json,vivado_metrics_json
baseline_4x4,baseline,0,4,4,4,1,,,,,,,,,,,,,,failed_perf,,,/home/keelan/rtl_agent_loop/experiments/results/runs/baseline_4x4/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/experiments/results/runs/baseline_4x4/vivado/reports/metrics.json
baseline_8x4,baseline,0,8,4,4,1,,,,,,,,,,,,,,failed_perf,,,/home/keelan/rtl_agent_loop/experiments/results/runs/baseline_8x4/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/experiments/results/runs/baseline_8x4/vivado/reports/metrics.json
baseline_8x8,baseline,0,8,8,4,1,,,,,,,,,,,,,,failed_perf,,,/home/keelan/rtl_agent_loop/experiments/results/runs/baseline_8x8/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/experiments/results/runs/baseline_8x8/vivado/reports/metrics.json
shared_4x4_sf2,shared,1,4,4,4,2,,,,,,,,,,,,,,failed_perf,,,/home/keelan/rtl_agent_loop/experiments/results/runs/shared_4x4_sf2/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/experiments/results/runs/shared_4x4_sf2/vivado/reports/metrics.json
shared_8x4_sf2,shared,1,8,4,4,2,,,,,,,,,,,,,,failed_perf,,,/home/keelan/rtl_agent_loop/experiments/results/runs/shared_8x4_sf2/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/experiments/results/runs/shared_8x4_sf2/vivado/reports/metrics.json
replicated_4x4_c2,replicated,2,4,4,2,1,,,,,,,,,,,,,,failed_perf,,,/home/keelan/rtl_agent_loop/experiments/results/runs/replicated_4x4_c2/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/experiments/results/runs/replicated_4x4_c2/vivado/reports/metrics.json
replicated_8x4_c2,replicated,2,8,4,2,1,,,,,,,,,,,,,,failed_perf,,,/home/keelan/rtl_agent_loop/experiments/results/runs/replicated_8x4_c2/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/experiments/results/runs/replicated_8x4_c2/vivado/reports/metrics.json
replicated_8x8_c2,replicated,2,8,8,2,1,,,,,,,,,,,,,,failed_perf,,,/home/keelan/rtl_agent_loop/experiments/results/runs/replicated_8x8_c2/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/experiments/results/runs/replicated_8x8_c2/vivado/reports/metrics.json
