case_name,arch_variant_name,ARCH_VARIANT,ARRAY_M,ARRAY_N,CLUSTER_SIZE,SHARE_FACTOR,physical_pe_count,shadow_pe_count,total_compute_steps,latency_cycles,latency_time_ms,throughput_ops_per_sec,lut,ff,dsp,bram,wns_ns,fmax_mhz_est,vivado_report_kind,status,pareto_latency_lut,ranking_note,perf_json,vivado_metrics_json
baseline_4x4,baseline,0,4,4,4,1,16,0,4,22,0.00022,290909090.9090909,689.0,1068.0,16.0,0.0,3.028,143.4308663224326,implementation,passed_all,yes,"fastest, timing-clean best",/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/baseline_4x4/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/baseline_4x4/vivado/reports/metrics.json
baseline_8x4,baseline,0,8,4,4,1,32,0,4,38,0.00038,336842105.2631579,1408.0,2152.0,32.0,0.0,2.851,139.87970345502868,implementation,passed_all,no,,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/baseline_8x4/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/baseline_8x4/vivado/reports/metrics.json
baseline_8x8,baseline,0,8,8,4,1,64,0,4,70,0.0007,365714285.71428573,2730.0,4206.0,64.0,0.0,1.49,117.50881316098707,implementation,passed_all,no,,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/baseline_8x8/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/baseline_8x8/vivado/reports/metrics.json
shared_4x4_sf2,shared,1,4,4,4,2,8,0,8,26,0.00026,246153846.15384614,695.0,1069.0,8.0,0.0,2.024,125.37612838515547,implementation,passed_all,no,,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/shared_4x4_sf2/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/shared_4x4_sf2/vivado/reports/metrics.json
shared_8x4_sf2,shared,1,8,4,4,2,16,0,8,42,0.00042,304761904.7619048,1415.0,2152.0,16.0,0.0,1.477,117.32957878681216,implementation,passed_all,no,,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/shared_8x4_sf2/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/shared_8x4_sf2/vivado/reports/metrics.json
replicated_4x4_c2,replicated,2,4,4,2,1,16,16,4,22,0.00022,290909090.9090909,1212.0,1068.0,32.0,0.0,4.034,167.61649346295675,implementation,passed_all,no,,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/replicated_4x4_c2/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/replicated_4x4_c2/vivado/reports/metrics.json
replicated_8x4_c2,replicated,2,8,4,2,1,32,32,4,38,0.00038,336842105.2631579,2453.0,2152.0,64.0,0.0,2.435,132.18770654329148,implementation,passed_all,no,,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/replicated_8x4_c2/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/replicated_8x4_c2/vivado/reports/metrics.json
replicated_8x8_c2,replicated,2,8,8,2,1,64,64,4,70,0.0007,365714285.71428573,37.0,40.0,0.0,0.0,6.263,267.5943270002676,implementation,passed_all,yes,"area-light, most replicated",/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/replicated_8x8_c2/verilator_perf/performance.json,/home/keelan/rtl_agent_loop/external/MAC_ARRAY_FPGA/experiments/results/runs/replicated_8x8_c2/vivado/reports/metrics.json
